ablation,feature_count,dropped_empty_train_numeric_cols,train_rmse,test_rmse,train_r2,test_r2,overfit_gap_rmse,overfit_ratio_rmse
no_area,102,3,0.7916944731955856,2.0912935850984757,0.990645979742524,0.945171830337634,1.2995991119028902,2.6415412206393265
full_features,103,3,0.7859555129194467,2.11649463059262,0.9907811020199383,0.9438424594346635,1.3305391176731736,2.6928936762983704
recent_3_yield_years,80,3,0.851955335700734,2.2271061610541154,0.989167798398608,0.9378193043930716,1.3751508253533813,2.614111406699881
no_yield_history,77,3,3.132593906664317,6.048267388719187,0.8535493588043085,0.5413982550778025,2.9156734820548698,1.9307537360179472
