indicateur,valeur
nb_lignes,1168.0
nb_colonnes,150.0
annee_cible_modele,2016.0
part_nan_globale_pct,44.51
colonnes_cible_historiques,37.0
colonnes_pluie_historiques,37.0
colonnes_pesticides_historiques,37.0
colonnes_temperature_historiques,37.0
