model,model_family,uses_exog,eligible_series,successful_series,failed_series,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,overfit_gap_rmse,overfit_ratio_rmse,train_predictions_count,test_predictions_count,run_id
naive_last_value,naive,False,567,567,0,0.6591271418110813,1.4051422713302721,0.9687046995459334,0.9490329365079365,2.033191774757344,0.9496113308062406,0.6280495034270719,1.4469650627138892,12291,2268,f0389853294b457cbff1b2b7614a6d93
holt_linear,exponential_smoothing,False,567,567,0,0.5313716917165956,1.1097990801014377,0.9802649502990849,0.9290092760345074,2.064238538740463,0.9480607153218444,0.9544394586390252,1.8600110378103645,12858,2268,435cbd28d1f5452f877a5525a2f361d6
sarimax_univariate,sarimax,False,567,567,0,0.8335869451863136,2.2611233727940614,0.9180784761935342,1.1229534486692307,2.5525968214951744,0.9205780312325225,0.291473448701113,1.128906477288296,12858,2268,d00281d0c16b43a3a3ecdbcf9fde4444
sarimax_exog,sarimax,True,567,567,0,0.8146663845435268,2.3802141410822104,0.9092218003116836,1.2437246485394264,2.7760571934564533,0.9060637932288527,0.3958430523742429,1.1663056468500204,12858,2268,3982bde24d1a4a63b725d99c695e1662
