fold,train_rows,val_rows,train_areas,val_areas,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,overfit_gap_rmse,overfit_ratio_rmse
1,677,226,122,41,1.085233021774461,2.369431404062564,0.9170699090374811,1.1069942429264037,2.5222515281907287,0.901990695424456,0.1528201241281648,1.0644965386489533
2,677,226,122,41,1.1180156603031355,2.5408818905983908,0.907782659215679,1.008692728875591,1.9782985647118705,0.9324488204702635,-0.5625833258865203,0.7785873763089283
3,677,226,122,41,1.0721493949464715,2.5046722451307235,0.9059585469214448,1.1402576635470434,2.425145171748406,0.9131466015879758,-0.07952707338231768,0.9682485109431286
4,678,225,123,40,1.0301237322973291,2.301154132900494,0.9167289385020165,1.2966511808547971,3.178098440598679,0.8693324693627966,0.8769443076981851,1.3810889045458414
