fold,train_rows,val_rows,train_areas,val_areas,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,overfit_gap_rmse,overfit_ratio_rmse
1,677,226,122,41,1.0898554818895754,2.372842611311306,0.9168309526677922,1.1161566875964142,2.52684145468995,0.9016336613881814,0.1539988433786439,1.0649005722691145
2,677,226,122,41,1.116891007664848,2.5423059857496972,0.9076792596277147,1.0059440024620665,1.9751421994194756,0.9326642036380506,-0.5671637863302217,0.7769097073643669
3,677,226,122,41,1.072155068880698,2.50548889744543,0.9058972121973273,1.1403071472378958,2.424810223670268,0.9131705913847467,-0.08067867377516214,0.9677992291814099
4,678,225,123,40,1.0317371510190598,2.302495542314669,0.9166318279773645,1.2977957892837524,3.1742673250672175,0.8696473121430325,0.8717717827525484,1.3786203997928992
