fold,train_rows,val_rows,train_areas,val_areas,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,overfit_gap_rmse,overfit_ratio_rmse
1,677,226,122,41,0.451035936105488,1.2393384133213676,0.977311609780673,0.617329594903783,1.3258622631311985,0.9729175880609265,0.08652384980983086,1.0698145469226206
2,677,226,122,41,0.44428679314368963,1.1491028283593936,0.9811391428443885,0.6350650480583349,1.4604621924549352,0.9631845678800796,0.31135936409554166,1.2709586613237025
3,677,226,122,41,0.4324094509914469,1.1536573847753486,0.9800486987927105,0.6261410614756878,1.5313728834229166,0.9653683455577221,0.3777154986475679,1.3274069959003647
4,678,225,123,40,0.4222147486702765,1.061134984996641,0.9822930423208887,0.7161585767625421,2.0233013356237555,0.9470392496160527,0.9621663506271145,1.9067332283179415
