fold,train_rows,val_rows,train_areas,val_areas,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,overfit_gap_rmse,overfit_ratio_rmse
1,677,226,122,41,0.5728728087699924,1.321311707334477,0.974211004443477,0.7844929947684296,1.7579657991762498,0.9523885548914527,0.43665409184177295,1.3304701603852802
2,677,226,122,41,0.6110727314950444,1.4311856749539225,0.970742608713653,0.7603395084879041,1.8069951442216543,0.9436410055359359,0.37580946926773184,1.2625861031482384
3,677,226,122,41,0.5687242136680568,1.3132626986482574,0.9741464168443033,0.7881053050741685,1.7635440022296058,0.9540713230936545,0.45028130358134844,1.3428722250657263
4,678,225,123,40,0.5943927760042624,1.4634126195796051,0.9663227768598512,0.9675468636601767,2.4634798037157366,0.9214889102051476,1.0000671841361315,1.6833801832482633
