fold,train_rows,val_rows,train_areas,val_areas,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,overfit_gap_rmse,overfit_ratio_rmse
1,677,226,122,41,0.1009441483606792,0.14619792292964642,0.9996842769668941,0.6717108435080114,1.3336824884295457,0.9725971699264055,1.1874845654998993,9.122444845343955
2,677,226,122,41,0.08100124089439649,0.11486042927970772,0.9998115550477146,0.6833385810759216,1.5845589109148943,0.9566622814197013,1.4696984816351866,13.79551618300313
3,677,226,122,41,0.07600929414870293,0.10845866885093938,0.9998236619376986,0.7544157417369101,1.7132291452763788,0.9566546771478671,1.6047704764254394,15.796147633260762
4,678,225,123,40,0.0906086617906185,0.12680382768448434,0.999747147408272,0.7235534718413884,2.0151079768916547,0.9474673102577998,1.8883041492071704,15.891539030711945
