fold,train_rows,val_rows,train_areas,val_areas,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,overfit_gap_rmse,overfit_ratio_rmse
1,677,226,122,41,1.0863295464325515,2.370777410522015,0.9169756618326385,1.1087540813192858,2.524637569681118,0.9018051747678341,0.15386015915910312,1.0648986102517424
2,677,226,122,41,1.1175681208163983,2.541381945599138,0.907746358213052,1.0054592395951263,1.9727809845392053,0.9328251026844884,-0.5686009610599327,0.7762630831447559
3,677,226,122,41,1.0741951042206284,2.509120477354177,0.9056242199979646,1.1433047753620993,2.4304626268489153,0.9127653086462552,-0.07865785050526153,0.9686512261108303
4,678,225,123,40,1.0316466518390848,2.301613337403774,0.9166957010398202,1.2970747458114622,3.1735380240036313,0.8697072034018439,0.8719246865998573,1.3788319577533343
