fold,train_rows,val_rows,train_areas,val_areas,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,overfit_gap_rmse,overfit_ratio_rmse
1,677,226,122,41,0.9696188683359098,2.1575660885110617,0.9312374337696584,1.0057091779050573,2.3406637848955114,0.9155949189135558,0.18309769638444973,1.084863076667471
2,677,226,122,41,0.8824953953682406,2.082682048125755,0.9380431133946926,0.8205684872973282,1.7138371475720113,0.9493022869585945,-0.36884490055374375,0.8228990829946058
3,677,226,122,41,0.9462870966318263,2.2324166825800664,0.9252918395219473,1.0311619387981112,2.177707353219593,0.9299657681977626,-0.05470932936047346,0.9754932267854026
4,678,225,123,40,0.8908538068546308,2.028508699227153,0.9352922301855244,1.19557038170539,2.9150199208291987,0.8900700456939539,0.8865112216020457,1.437026088150275
