fold,train_rows,val_rows,train_areas,val_areas,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,overfit_gap_rmse,overfit_ratio_rmse
1,677,226,122,41,1.0855872351312565,2.369828942269884,0.9170420790312793,1.1098085257479577,2.5241365430594342,0.9018441453831257,0.1543076007895503,1.0651133919572062
2,677,226,122,41,1.1226742057569268,2.550466039832026,0.9070856637017877,1.0108447810586576,1.9856307091451673,0.9319471642826739,-0.5648353306868585,0.7785364235925843
3,677,226,122,41,1.0786593330794634,2.509416380090975,0.9056019590515384,1.1428105712848429,2.4258136830363215,0.913098711275586,-0.08360269705465351,0.9666844060962005
4,678,225,123,40,1.0297277916089624,2.3043360475102137,0.9164984936216076,1.2953907577243378,3.1730094670594733,0.8697506006618966,0.8686734195492596,1.3769734108390324
