fold,train_rows,val_rows,train_areas,val_areas,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,overfit_gap_rmse,overfit_ratio_rmse
1,677,226,122,41,0.43454319630225624,0.9220770825280095,0.9874409058104937,0.6509792374885187,1.2696117287783464,0.9751668179899695,0.3475346462503369,1.3769041144559409
2,677,226,122,41,0.3880084427555343,0.8305024169781865,0.9901479764770796,0.7024238109333326,1.677419928695796,0.9514339411590407,0.8469175117176095,2.0197652582386816
3,677,226,122,41,0.3922017699400114,0.8131197367260165,0.9900887933817335,0.7729428106067455,1.7648392501785581,0.9540038330048752,0.9517195134525417,2.1704543260560736
4,678,225,123,40,0.40862919685861704,0.8430322618377883,0.9888238795778357,0.7746292559365167,1.9844845457043905,0.9490518480090007,1.1414522838666021,2.3539841065848015
