fold,train_rows,val_rows,train_areas,val_areas,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,overfit_gap_rmse,overfit_ratio_rmse
1,677,226,122,41,0.3313585285747205,0.9597677712313369,0.9863931942156894,0.538803588558833,1.0811652384233925,0.9819916191125369,0.12139746719205557,1.1264862926542203
2,677,226,122,41,0.28380441514531757,0.7656355509763936,0.9916268702590508,0.639023093251829,1.726180627670515,0.948569382147201,0.9605450766941214,2.2545721988342433
3,677,226,122,41,0.2840014623874154,0.8508218197090023,0.9891483753718775,0.6559480273583386,1.5864928480513343,0.9628304270486673,0.735671028342332,1.864659334423212
4,678,225,123,40,0.2836505369218731,0.7818704477807121,0.9903867047721201,0.6870023489419352,1.8825937351156958,0.9541492745306444,1.1007232873349837,2.407807764648625
