fold,train_rows,val_rows,train_areas,val_areas,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,overfit_gap_rmse,overfit_ratio_rmse
1,677,226,122,41,0.45243456560121387,1.2384745845806249,0.9773432267354177,0.6142115481506245,1.3186038340941717,0.9732133015659263,0.08012924951354683,1.0646999546952192
2,677,226,122,41,0.44305457862701053,1.1439538474366633,0.9813077902678013,0.6344104382588525,1.4603208682609226,0.9631916925554926,0.31636702082425927,1.2765557557528784
3,677,226,122,41,0.43235239529476777,1.1566766937955206,0.9799441305347271,0.6241204420387957,1.533275308498604,0.9652822462771683,0.3765986147030833,1.3255867579274137
4,678,225,123,40,0.42033149056436114,1.0577122716295073,0.9824070864319276,0.7125231956223174,2.013542838700721,0.947548883046314,0.9558305670712137,1.9036772974172502
