fold,train_rows,val_rows,train_areas,val_areas,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,overfit_gap_rmse,overfit_ratio_rmse
1,677,226,122,41,0.45356896216191367,1.2389068151563707,0.977327409440245,0.6193776139971534,1.3309155798936612,0.9727107538932004,0.09200876473729047,1.0742660897588794
2,677,226,122,41,0.4446749324999032,1.1487534847858456,0.9811506090378637,0.6344846934412125,1.46368282856481,0.9630220168109589,0.3149293437789644,1.274148760330137
3,677,226,122,41,0.43201509610213473,1.15454481712699,0.9800179925532484,0.6229401391148999,1.5266288891460473,0.9655825819387327,0.37208407201905724,1.3222777206215037
4,678,225,123,40,0.42169720318878917,1.0614273299562358,0.982283284367425,0.7154857602398447,2.020482970825843,0.9471866905868188,0.9590556408696074,1.9035528046080654
